	Tweets	date	polarity
0	"b'Crypto 2017: ""This is so easy.""\nCrypto 2018: ""This is so hard.""\nCrypto 2019: ""This is so boring.""'"	2019-12-16	-0.28611111111111115
1	b'BTC South all-star '	2019-12-16	0.0
2	b'How Does Blockchain Work: Simply Explained By @101Blockchains  #Bitcoin #Blockchain #Crypto #Compliance cc @sarbjeetjohal @YIbnM @DrJDrooghaag @JohnNosta @HaroldSinnott @HeinzVHoenen @laurenmaille @NevilleGaunt @FmFrancoise @antgrasso https://101blockchains.com/how-does-blockchain-work/ \xe2\x80\xa6'	2019-12-16	0.0
3	b'Want to learn more about the original #BitCoin #BSV? Start here:\n\n http://BitCoinSV.com \n\n http://CraigWright.net \n\nAnd watch this:'	2019-12-16	0.4375
4	b'Here is your TLDR 2 minute version'	2019-12-16	0.0
5	b'Bitcoin investors be like..\n\n#crypto #bitcoin #cryptocurrency #blockchain #btc #ethereum #trading #money #bitcoinmining #cryptocurrencies #cryptonews #cryptotrading #investment #bitcoinnews #bitcoins #trader #business #investing #eth #bitcoincash #litecoin #altcoin #investor'	2019-12-16	0.0
6	"b""$BTC longs have ADDED on this move.\n\nMy theories are\n1) Someone knows something bullish we don't\n2) A whale is martingaling hoping it's the bottom\n3) It's a spoof getting hedged on finex futs\n4) I got no idea """	2019-12-16	-0.1
7	b'$BTC 1W\n\nCould it have been this easy the whole time? '	2019-12-16	0.31666666666666665
8	b'Whenever I point out a legit, critical flaw in a process related to Ethereum, multiple high profile ETH fans will attack me instead of addressing the issue.\n\nIt\xe2\x80\x99s an ugly tactic. I\xe2\x80\x99m allowed to be interested in ETH. It has nothing to do with bitcoin or any other investment I made '	2019-12-16	-0.059285714285714275
9	b'I don\xe2\x80\x99t get why people keep saying \xe2\x80\x9churr durr bitcoiner spreading fud\xe2\x80\x9d when the criticism is clearly valid. Me holding bitcoin has nothing to do with this.\n\nYes, I have interest in Ethereum. Am I not allowed to?'	2019-12-16	0.10000000000000002
10	b'Bitcoin is likely to outperform other top crypto assets in 2020\nrt if you agree \nfav if you also agree but are too big of a coward to rt'	2019-12-16	0.09375
11	b'Nothing to see here move along.\n #Bitcoin #BSV'	2019-12-16	0.0
12	b'The smile I got when I found #DigiByte!\n\nWere you this happy when you found this gold mine.\n\nThe most undervalued project in the blockchain space.\n\nIts just like BTC but enhanced and Scaled for applications like DigiAssets and DigiID.\n\nRT for free #DGB.\n\n@coinkit_ mon 1 100 $DGB'	2019-12-16	0.51875
13	b'Remember when they said that #Bitcoin #BSV mining was centralised  \nWell would you look at that  \nAnd it only gets better because all remaining hash after the bloodbath will be on #Bitcoin #BSV\n#BSV is #Bitcoin & *trigger warning* #CSW is #satoshi'	2019-12-16	0.25
14	b'I usually think the Echo bubble talk is just a meme, but when you look at $ETH and $LTC on high time frames its just sad how much weaker then $BTC they look. '	2019-12-16	-0.09749999999999999
